description,unspsc_code
"Materials received: White matte wall paint 10L – Qty: 2, Price: $24.94",31211504
Billed for 5 x Concrete wall panel 1x2m @ $103.66,30111504
"Delivery of Cement bag 25kg, total: 1 units at $101.55 each",30111504
"Delivery of Glass wool insulation roll, total: 2 units at $49.11 each",30141701
"Goods supplied: Box of stainless steel screws – Amount: 2 pcs, Rate: $106.34",31161504
"Goods supplied: Clay roof tiles – Amount: 2 pcs, Rate: $218.81",30161601
"Goods supplied: Steel reinforcement rods 10mm – Amount: 25 pcs, Rate: $215.55",30102307
"Delivery of Box of stainless steel screws, total: 1 units at $163.56 each",31161504
"Invoice for Box of stainless steel screws, qty: 1, unit price: $231.7",31161504
Procured: Solid oak wooden door (5 pcs) - Unit Cost: $122.18,30171501
"Materials received: Solid oak wooden door – Qty: 1, Price: $42.41",30171501
"Materials received: Cement bag 25kg – Qty: 3, Price: $231.74",30111504
"Order details: White matte wall paint 10L, quantity 5, cost/unit $174.6",31211504
"Goods supplied: HD USB webcam – Amount: 2 pcs, Rate: $48.69",46171610
"Invoice for Optical USB mouse, qty: 10, unit price: $184.33",43211708
Billed for 1 x Business laptop 16GB RAM @ $13.96,43211503
"Purchased: Tablet device 10 inch – 25 units, $133.48 per item",43211509
"Purchased: Business laptop 16GB RAM – 1 units, $213.06 per item",43211503
Line 72: 1 of LED computer monitor 24 inch at $169.29 per unit,43211902
"Materials received: Optical USB mouse – Qty: 1, Price: $235.49",43211708
"Line item - WiFi 6 broadband router, 10 units @ $149.24",43222609
"Delivery of WiFi 6 broadband router, total: 5 units at $164.86 each",43222609
"Purchased: WiFi 6 broadband router – 3 units, $233.77 per item",43222609
Billed for 2 x Optical USB mouse @ $67.51,43211708
"Order details: Wireless keyboard, quantity 5, cost/unit $80.07",43211706
"Invoice for LED computer monitor 24 inch, qty: 5, unit price: $155.86",43211902
"Delivery of WiFi 6 broadband router, total: 1 units at $135.1 each",43222609
"Order details: HD USB webcam, quantity 2, cost/unit $233.41",46171610
"Line item - LED computer monitor 24 inch, 3 units @ $72.32",43211902
"Purchased: Tablet device 10 inch – 12 units, $76.68 per item",43211509
"Invoice for HD USB webcam, qty: 12, unit price: $204.55",46171610
"Delivery of Android smartphone 128GB, total: 2 units at $67.22 each",43191501
"Purchased: LED computer monitor 24 inch – 2 units, $69.18 per item",43211902
"Line item - WiFi 6 broadband router, 12 units @ $86.71",43222609
"Purchased: Android smartphone 128GB – 5 units, $63.9 per item",43191501
"Delivery of Business laptop 16GB RAM, total: 12 units at $106.76 each",43211503
"Invoice for Android smartphone 128GB, qty: 1, unit price: $84.39",43191501
"Order details: Wireless keyboard, quantity 2, cost/unit $185.7",43211706
"Materials received: HD USB webcam – Qty: 10, Price: $3.9",46171610
Procured: LED computer monitor 24 inch (10 pcs) - Unit Cost: $10.45,43211902
Line 94: 10 of Multifunction printer at $38.3 per unit,43212105
"Invoice for Wireless keyboard, qty: 3, unit price: $92.12",43211706
Billed for 2 x Business laptop 16GB RAM @ $170.99,43211503
Billed for 25 x LED computer monitor 24 inch @ $140.63,43211902
Line 98: 12 of USB-C charging cable at $39.91 per unit,26121607
Procured: Optical USB mouse (25 pcs) - Unit Cost: $202.98,43211708
"Line 999: Misc item – Qty: 1, Price: $0.00",00000000
