description,unspsc_code
Shipment: 12 x Concrete wall unit,30111504
Requisition for Single core copper cable,26121505
"Procurement request: Single core copper cable, 25 pcs",26121505
Supply of Organic hen eggs,50131705
Purchased: Matte white emulsion 5L - 5 units,31211504
"Invoice: Yellow bananas, qty 2",50192102
Supply of White latex paint,31211504
Line item: Panel made of concrete,30111504
Supply of Cavendish bananas 1kg,50192102
Supply of Wireless internet router,43222609
Supply of Electric cable insulated,26121505
Supply of Loose apples (kg),50192101
Reinforcement bar bundle for site delivery,30102307
Supply of Loose apples (kg),50192101
"Procurement request: Fresh white eggs, 2 pcs",50131705
Shipment: 1 x Bag of green apples,50192101
Shipment: 1 x Organic bananas,50192102
"Invoice: Precast concrete slab, qty 2",30111504
Concrete wall unit for site delivery,30111504
Requisition for Yellow bananas,50192102
Purchased: Panel made of concrete - 50 units,30111504
Shipment: 10 x Flexible wire 1.5mm,26121505
Requisition for Pro business laptop,43211503
Order of Panel made of concrete,30111504
Purchased: Cavendish bananas 1kg - 5 units,50192102
Purchased: Cavendish bananas 1kg - 2 units,50192102
"Invoice: 100m copper wire roll, qty 1",26121505
Line item: White jasmine rice,50201700
"Purchased: 14"" business notebook - 5 units",43211503
Office laptop 512GB SSD for site delivery,43211503
Line item: 5 litre matte paint,31211504
White latex paint for site delivery,31211504
Supply of Interior wall paint white,31211504
Order of Steel rebars 10mm,30102307
Line item: Pro business laptop,43211503
Shipment: 25 x Dozen large eggs,50131705
Supply of Office laptop 512GB SSD,43211503
Shipment: 1 x Flexible wire 1.5mm,26121505
Requisition for Precast concrete slab,30111504
Supply of Gigabit router,43222609
Line item: Cavendish bananas 1kg,50192102
Line item: Bag of green apples,50192101
Acquired 25 units of Reinforcement bar bundle,30102307
"Invoice: Organic hen eggs, qty 12",50131705
White jasmine rice for site delivery,50201700
"Procurement request: Office network router, 5 pcs",43222609
"Procurement request: Cavendish bananas 1kg, 10 pcs",50192102
Requisition for Organic hen eggs,50131705
Shipment: 1 x 100m copper wire roll,26121505
"Procurement request: Broadband router, 1 pcs",43222609
Order of Steamed white rice,50201700
Requisition for Flexible wire 1.5mm,26121505
"Procurement request: Wall coating matte white, 12 pcs",31211504
Order of Fresh white eggs,50131705
"Invoice: Pro business laptop, qty 5",43211503
Fresh white eggs for site delivery,50131705
"Invoice: Wall panel concrete 1x2m, qty 5",30111504
Acquired 10 units of 100m copper wire roll,26121505
Cavendish bananas 1kg for site delivery,50192102
Shipment: 25 x Cavendish bananas 1kg,50192102
Supply of Pro business laptop,43211503
Purchased: Fresh white eggs - 10 units,50131705
Requisition for Electric cable insulated,26121505
"Invoice: Panel made of concrete, qty 50",30111504
Requisition for Banana bunch large,50192102
Order of Single core copper cable,26121505
Line item: Pro business laptop,43211503
Shipment: 12 x 12-pack eggs,50131705
"Procurement request: Organic hen eggs, 12 pcs",50131705
Shipment: 5 x Flexible wire 1.5mm,26121505
Line item: Interior wall paint white,31211504
Order of White latex paint,31211504
Requisition for Fresh white eggs,50131705
Order of Reinforcement bar bundle,30102307
"Procurement request: House wiring cable, 50 pcs",26121505
Organic bananas for site delivery,50192102
"Invoice: Dozen large eggs, qty 10",50131705
Shipment: 50 x Steel rebars 10mm,30102307
Line item: Workstation laptop,43211503
"Procurement request: Basmati rice 2kg, 50 pcs",50201700
"Procurement request: Flexible wire 1.5mm, 25 pcs",26121505
Order of Carton of eggs,50131705
Supply of Cavendish bananas 1kg,50192102
Organic bananas for site delivery,50192102
"Invoice: Organic bananas, qty 25",50192102
"Order of 14"" business notebook",43211503
"Procurement request: Bag of green apples, 5 pcs",50192101
Purchased: Long grain white rice - 12 units,50201700
"Invoice: Steamed white rice, qty 2",50201700
Line item: Steel rebars 10mm,30102307
Purchased: Steamed white rice - 10 units,50201700
Purchased: Wall panel concrete 1x2m - 10 units,30111504
Supply of Office laptop 512GB SSD,43211503
Supply of Organic apples pack,50192101
Electric cable insulated for site delivery,26121505
Supply of Gigabit router,43222609
Shipment: 50 x Rice 5kg bag,50201700
Requisition for Laptop with 16GB RAM,43211503
Purchased: Dozen large eggs - 10 units,50131705
Line item: Concrete wall unit,30111504
"Requisition for 14"" business notebook",43211503
Order of Loose apples (kg),50192101
Purchased: Organic hen eggs - 12 units,50131705
Purchased: Wireless internet router - 12 units,43222609
Laptop with 16GB RAM for site delivery,43211503
Shipment: 1 x Bag of green apples,50192101
"Invoice: Concrete wall unit, qty 1",30111504
Requisition for Workstation laptop,43211503
Acquired 5 units of Interior wall paint white,31211504
Supply of House wiring cable,26121505
Shipment: 50 x 10mm rebar,30102307
Workstation laptop for site delivery,43211503
Purchased: Cavendish bananas 1kg - 50 units,50192102
"Procurement request: Steamed white rice, 1 pcs",50201700
Supply of Basmati rice 2kg,50201700
"Procurement request: Organic bananas, 25 pcs",50192102
Requisition for Pro business laptop,43211503
Purchased: Dual-band WiFi 6 router - 10 units,43222609
Acquired 5 units of Loose apples (kg),50192101
Wall panel concrete 1x2m for site delivery,30111504
Requisition for Organic hen eggs,50131705
Order of Steel rebars 10mm,30102307
Dozen large eggs for site delivery,50131705
Requisition for Electric cable insulated,26121505
Requisition for Gigabit router,43222609
Reinforcement bar bundle for site delivery,30102307
Requisition for Carton of eggs,50131705
Purchased: Bag of green apples - 10 units,50192101
"Procurement request: 12-pack eggs, 1 pcs",50131705
"Procurement request: Gigabit router, 1 pcs",43222609
Purchased: Rice 5kg bag - 1 units,50201700
Purchased: Dozen large eggs - 25 units,50131705
Order of Precast concrete slab,30111504
"Invoice: Wireless internet router, qty 50",43222609
Wall panel concrete 1x2m for site delivery,30111504
Line item: Electric cable insulated,26121505
"Invoice: 5 litre matte paint, qty 50",31211504
Supply of Precast concrete slab,30111504
Acquired 5 units of Construction steel rods,30102307
Order of Steel rebars 10mm,30102307
Purchased: Bag of green apples - 12 units,50192101
"Invoice: Dual-band WiFi 6 router, qty 5",43222609
Requisition for Fresh gala apples,50192101
Shipment: 10 x Fresh ripe bananas,50192102
Line item: Gigabit router,43222609
Purchased: Carton of eggs - 12 units,50131705
Supply of Loose apples (kg),50192101
Shipment: 50 x Red Washington apples 1kg,50192101
White jasmine rice for site delivery,50201700
Dozen large eggs for site delivery,50131705
Wall panel concrete 1x2m for site delivery,30111504
Line item: Pro business laptop,43211503
Line item: Office network router,43222609
Acquired 12 units of Office laptop 512GB SSD,43211503
Basmati rice 2kg for site delivery,50201700
Requisition for Electric cable insulated,26121505
"Procurement request: White latex paint, 50 pcs",31211504
Requisition for Fresh white eggs,50131705
Requisition for Banana bunch large,50192102
"Invoice: Workstation laptop, qty 25",43211503
Dozen large eggs for site delivery,50131705
Requisition for Fresh ripe bananas,50192102
Acquired 1 units of Wireless internet router,43222609
Acquired 5 units of Panel made of concrete,30111504
"Procurement request: Organic bananas, 50 pcs",50192102
Supply of Basmati rice 2kg,50201700
Workstation laptop for site delivery,43211503
"Invoice: Electric cable insulated, qty 25",26121505
12-pack eggs for site delivery,50131705
Single core copper cable for site delivery,26121505
Purchased: Pro business laptop - 50 units,43211503
Line item: Steamed white rice,50201700
Line item: 100m copper wire roll,26121505
"Invoice: 14"" business notebook, qty 5",43211503
"Procurement request: Workstation laptop, 1 pcs",43211503
Line item: Construction steel rods,30102307
"Invoice: Basmati rice 2kg, qty 25",50201700
Acquired 2 units of Red Washington apples 1kg,50192101
Shipment: 5 x White jasmine rice,50201700
Supply of 10mm rebar,30102307
Line item: Gigabit router,43222609
"Invoice: Fresh gala apples, qty 50",50192101
Precast concrete slab for site delivery,30111504
Shipment: 12 x Fresh white eggs,50131705
Supply of Fresh white eggs,50131705
"Procurement request: 100m copper wire roll, 10 pcs",26121505
Line item: Banana bunch large,50192102
Order of Single core copper cable,26121505
Order of Steamed white rice,50201700
Purchased: 5 litre matte paint - 50 units,31211504
Supply of 10mm rebar,30102307
Shipment: 25 x Fresh ripe bananas,50192102
"Invoice: Long grain white rice, qty 10",50201700
Acquired 12 units of Electric cable insulated,26121505
Requisition for Dual-band WiFi 6 router,43222609
Order of Organic apples pack,50192101
Line item: Banana bunch large,50192102
Requisition for Heavy concrete board,30111504
Order of Organic bananas,50192102
Shipment: 50 x Mild steel bars,30102307
Requisition for Dual-band WiFi 6 router,43222609
Requisition for Cavendish bananas 1kg,50192102
Steamed white rice for site delivery,50201700
Purchased: Workstation laptop - 5 units,43211503
Acquired 25 units of Steel rebars 10mm,30102307
Acquired 2 units of Yellow bananas,50192102
"Invoice: Broadband router, qty 2",43222609
Supply of Cavendish bananas 1kg,50192102
"Invoice: Mild steel bars, qty 50",30102307
Shipment: 10 x Cavendish bananas 1kg,50192102
Shipment: 25 x Panel made of concrete,30111504
"Procurement request: Panel made of concrete, 50 pcs",30111504
Shipment: 1 x Wireless internet router,43222609
Supply of Fresh white eggs,50131705
Order of Pro business laptop,43211503
Supply of 100m copper wire roll,26121505
Order of Dozen large eggs,50131705
"14"" business notebook for site delivery",43211503
Requisition for Panel made of concrete,30111504
Order of Panel made of concrete,30111504
"Procurement request: Wall panel concrete 1x2m, 12 pcs",30111504
"Invoice: Carton of eggs, qty 1",50131705
"Procurement request: Dozen large eggs, 25 pcs",50131705
"Invoice: Yellow bananas, qty 1",50192102
Shipment: 12 x White latex paint,31211504
"Invoice: House wiring cable, qty 5",26121505
Requisition for Broadband router,43222609
Order of Gigabit router,43222609
"Procurement request: Dual-band WiFi 6 router, 1 pcs",43222609
Supply of Flexible wire 1.5mm,26121505
"Procurement request: Wall panel concrete 1x2m, 1 pcs",30111504
"Procurement request: Wall panel concrete 1x2m, 5 pcs",30111504
Line item: Long grain white rice,50201700
Acquired 10 units of Banana bunch large,50192102
Acquired 1 units of Wireless internet router,43222609
"Procurement request: Steamed white rice, 1 pcs",50201700
"Invoice: Broadband router, qty 2",43222609
Purchased: Office network router - 2 units,43222609
Construction steel rods for site delivery,30102307
Acquired 50 units of Yellow bananas,50192102
"Procurement request: 100m copper wire roll, 50 pcs",26121505
Line item: Wall panel concrete 1x2m,30111504
"Invoice: Construction steel rods, qty 50",30102307
Shipment: 1 x Wall panel concrete 1x2m,30111504
Purchased: Rice 5kg bag - 10 units,50201700
Shipment: 2 x Concrete wall unit,30111504
Supply of Electric cable insulated,26121505
"Procurement request: 12-pack eggs, 25 pcs",50131705
Shipment: 50 x Heavy concrete board,30111504
Acquired 12 units of Office laptop 512GB SSD,43211503
Purchased: Long grain white rice - 50 units,50201700
Supply of Wall panel concrete 1x2m,30111504
Acquired 1 units of Organic hen eggs,50131705
Supply of 100m copper wire roll,26121505
Shipment: 12 x 10mm rebar,30102307
Reinforcement bar bundle for site delivery,30102307
Order of Organic hen eggs,50131705
Acquired 5 units of Organic apples pack,50192101
White latex paint for site delivery,31211504
"Procurement request: Matte white emulsion 5L, 1 pcs",31211504
"Invoice: Wireless internet router, qty 1",43222609
"Invoice: Office laptop 512GB SSD, qty 50",43211503
Line item: Fresh white eggs,50131705
Supply of Fresh ripe bananas,50192102
Line item: Mild steel bars,30102307
Supply of Basmati rice 2kg,50201700
"Order of 14"" business notebook",43211503
Shipment: 1 x Steamed white rice,50201700
Line item: Organic bananas,50192102
Line item: Loose apples (kg),50192101
Requisition for 10mm rebar,30102307
Purchased: Concrete wall unit - 12 units,30111504
Long grain white rice for site delivery,50201700
Acquired 12 units of Dual-band WiFi 6 router,43222609
Acquired 1 units of House wiring cable,26121505
Order of White jasmine rice,50201700
Supply of Rice 5kg bag,50201700
Bag of green apples for site delivery,50192101
Line item: Matte white emulsion 5L,31211504
Order of Wireless internet router,43222609
"Invoice: Single core copper cable, qty 50",26121505
"Invoice: Fresh white eggs, qty 50",50131705
Shipment: 1 x Steel rebars 10mm,30102307
Order of Laptop with 16GB RAM,43211503
"Procurement request: Matte white emulsion 5L, 5 pcs",31211504
Acquired 10 units of Flexible wire 1.5mm,26121505
"Purchased: 14"" business notebook - 5 units",43211503
"Procurement request: Dual-band WiFi 6 router, 5 pcs",43222609
Requisition for Banana bunch large,50192102
"Procurement request: Fresh white eggs, 2 pcs",50131705
"Procurement request: Fresh white eggs, 50 pcs",50131705
Single core copper cable for site delivery,26121505
Requisition for Basmati rice 2kg,50201700
Supply of Mild steel bars,30102307
"Procurement request: Fresh ripe bananas, 25 pcs",50192102
Shipment: 12 x Workstation laptop,43211503
Shipment: 5 x Long grain white rice,50201700
"Procurement request: Dozen large eggs, 12 pcs",50131705
Order of Rice 5kg bag,50201700
Acquired 50 units of Rice 5kg bag,50201700
"Invoice: Steel rebars 10mm, qty 50",30102307
Order of Heavy concrete board,30111504
"Procurement request: Cavendish bananas 1kg, 5 pcs",50192102
Order of Steamed white rice,50201700
"Procurement request: Reinforcement bar bundle, 5 pcs",30102307
Line item: Dozen large eggs,50131705
Requisition for Single core copper cable,26121505
Laptop with 16GB RAM for site delivery,43211503
Acquired 10 units of Reinforcement bar bundle,30102307
Supply of 100m copper wire roll,26121505
Purchased: Office laptop 512GB SSD - 12 units,43211503
Purchased: Office laptop 512GB SSD - 1 units,43211503
Shipment: 2 x Steel rebars 10mm,30102307
"Procurement request: Dozen large eggs, 25 pcs",50131705
Acquired 12 units of Dual-band WiFi 6 router,43222609
"Invoice: Workstation laptop, qty 25",43211503
Acquired 2 units of 10mm rebar,30102307
"Invoice: Cavendish bananas 1kg, qty 2",50192102
"Procurement request: Dozen large eggs, 12 pcs",50131705
Shipment: 50 x Concrete wall unit,30111504
Line item: Electric cable insulated,26121505
Requisition for Banana bunch large,50192102
Requisition for Carton of eggs,50131705
Steamed white rice for site delivery,50201700
Shipment: 10 x Dual-band WiFi 6 router,43222609
"Invoice: Single core copper cable, qty 50",26121505
"Invoice: House wiring cable, qty 50",26121505
Acquired 50 units of Reinforcement bar bundle,30102307
Acquired 2 units of Red Washington apples 1kg,50192101
"Invoice: Laptop with 16GB RAM, qty 5",43211503
Acquired 5 units of 5 litre matte paint,31211504
Purchased: Banana bunch large - 25 units,50192102
"Invoice: Single core copper cable, qty 25",26121505
Acquired 1 units of Pro business laptop,43211503
Line item: Electric cable insulated,26121505
Line item: Construction steel rods,30102307
Line item: Concrete wall unit,30111504
Order of Red Washington apples 1kg,50192101
Purchased: Concrete wall unit - 50 units,30111504
Line item: Heavy concrete board,30111504
Acquired 5 units of Organic apples pack,50192101
Purchased: Office laptop 512GB SSD - 50 units,43211503
Shipment: 1 x Rice 5kg bag,50201700
Shipment: 10 x Fresh gala apples,50192101
Purchased: Fresh white eggs - 5 units,50131705
"Procurement request: Wall panel concrete 1x2m, 50 pcs",30111504
Requisition for Broadband router,43222609
Acquired 1 units of Gigabit router,43222609
Shipment: 1 x Wireless internet router,43222609
Purchased: Office laptop 512GB SSD - 2 units,43211503
Supply of Fresh ripe bananas,50192102
Purchased: Heavy concrete board - 50 units,30111504
Line item: 10mm rebar,30102307
"Invoice: Wireless internet router, qty 10",43222609
Shipment: 5 x Flexible wire 1.5mm,26121505
Dozen large eggs for site delivery,50131705
Purchased: Flexible wire 1.5mm - 2 units,26121505
Order of Concrete wall unit,30111504
Line item: Office laptop 512GB SSD,43211503
Acquired 1 units of Organic hen eggs,50131705
"Invoice: Organic bananas, qty 5",50192102
"Procurement request: Office network router, 1 pcs",43222609
Line item: Basmati rice 2kg,50201700
Acquired 5 units of 5 litre matte paint,31211504
Acquired 10 units of Organic bananas,50192102
Line item: Single core copper cable,26121505
"Invoice: Precast concrete slab, qty 1",30111504
"Procurement request: Rice 5kg bag, 12 pcs",50201700
Purchased: Wireless internet router - 12 units,43222609
Acquired 1 units of Flexible wire 1.5mm,26121505
"Invoice: Red Washington apples 1kg, qty 25",50192101
Acquired 10 units of Office network router,43222609
Acquired 2 units of Mild steel bars,30102307
"Procurement request: Gigabit router, 2 pcs",43222609
Supply of Steamed white rice,50201700
Acquired 12 units of Gigabit router,43222609
Supply of Carton of eggs,50131705
"Procurement request: Bag of green apples, 25 pcs",50192101
Line item: Organic bananas,50192102
Shipment: 5 x Loose apples (kg),50192101
Purchased: Panel made of concrete - 25 units,30111504
Shipment: 2 x Loose apples (kg),50192101
Requisition for House wiring cable,26121505
Line item: Matte white emulsion 5L,31211504
Order of Cavendish bananas 1kg,50192102
"Invoice: Office network router, qty 10",43222609
Acquired 50 units of White latex paint,31211504
Order of Heavy concrete board,30111504
Purchased: Mild steel bars - 12 units,30102307
Acquired 10 units of Office network router,43222609
Shipment: 12 x Wireless internet router,43222609
"Procurement request: Gigabit router, 25 pcs",43222609
Shipment: 2 x Pro business laptop,43211503
Acquired 5 units of 5 litre matte paint,31211504
Supply of 5 litre matte paint,31211504
"Procurement request: White latex paint, 10 pcs",31211504
Supply of Gigabit router,43222609
Acquired 10 units of Yellow bananas,50192102
"Invoice: Rice 5kg bag, qty 5",50201700
Bag of green apples for site delivery,50192101
Shipment: 2 x Organic hen eggs,50131705
Supply of Wall coating matte white,31211504
Laptop with 16GB RAM for site delivery,43211503
Purchased: Wall panel concrete 1x2m - 1 units,30111504
Purchased: Electric cable insulated - 1 units,26121505
"Procurement request: Organic bananas, 25 pcs",50192102
"Invoice: Dozen large eggs, qty 1",50131705
Requisition for Electric cable insulated,26121505
Purchased: Fresh white eggs - 50 units,50131705
Supply of Workstation laptop,43211503
Line item: Red Washington apples 1kg,50192101
"Invoice: 100m copper wire roll, qty 10",26121505
Requisition for Steel rebars 10mm,30102307
Supply of 12-pack eggs,50131705
Line item: Bag of green apples,50192101
Supply of Banana bunch large,50192102
Shipment: 2 x House wiring cable,26121505
Supply of Flexible wire 1.5mm,26121505
"Invoice: Banana bunch large, qty 25",50192102
"Invoice: Organic hen eggs, qty 1",50131705
Line item: Broadband router,43222609
Line item: Interior wall paint white,31211504
Acquired 5 units of White jasmine rice,50201700
Organic bananas for site delivery,50192102
"Procurement request: Reinforcement bar bundle, 2 pcs",30102307
Requisition for Bag of green apples,50192101
"Procurement request: Organic hen eggs, 5 pcs",50131705
Order of Panel made of concrete,30111504
Order of Wireless internet router,43222609
Supply of Organic bananas,50192102
Supply of Steamed white rice,50201700
"Procurement request: Banana bunch large, 12 pcs",50192102
"Invoice: Interior wall paint white, qty 10",31211504
Line item: Reinforcement bar bundle,30102307
Shipment: 50 x Steamed white rice,50201700
Purchased: Electric cable insulated - 25 units,26121505
Acquired 10 units of Precast concrete slab,30111504
Single core copper cable for site delivery,26121505
Acquired 12 units of Fresh ripe bananas,50192102
Acquired 2 units of Wall coating matte white,31211504
Acquired 10 units of 10mm rebar,30102307
Line item: Cavendish bananas 1kg,50192102
Shipment: 50 x Yellow bananas,50192102
"Invoice: Organic apples pack, qty 12",50192101
Line item: White jasmine rice,50201700
Supply of Flexible wire 1.5mm,26121505
Supply of Organic apples pack,50192101
Line item: Fresh gala apples,50192101
"Procurement request: Organic apples pack, 25 pcs",50192101
Order of Yellow bananas,50192102
Supply of Dozen large eggs,50131705
Requisition for Construction steel rods,30102307
Requisition for White jasmine rice,50201700
"Invoice: Yellow bananas, qty 25",50192102
"Invoice: Dual-band WiFi 6 router, qty 12",43222609
"Invoice: Steamed white rice, qty 25",50201700
Order of Matte white emulsion 5L,31211504
Requisition for Carton of eggs,50131705
Purchased: Long grain white rice - 10 units,50201700
Supply of Wireless internet router,43222609
Requisition for Fresh ripe bananas,50192102
Purchased: Fresh gala apples - 1 units,50192101
Order of Yellow bananas,50192102
Purchased: Precast concrete slab - 25 units,30111504
Shipment: 2 x Organic apples pack,50192101
Order of Electric cable insulated,26121505
Purchased: Single core copper cable - 50 units,26121505
Line item: Concrete wall unit,30111504
